

0 ..####... 14  3 20.345    6  5  6 
0 ..####..# 15  3 -40.052   5  6  7 
0 ..####.## 16  3 44.424    4  5  6 
0 ..####.#. 17  3 73.221    5  4  5 
0 ..######. 18  3 24.369    6  3  6 
0 ..####### 19  3 1.571     5  4  7 
0 ..#####.# 20  3 -108.504  6  5  8 
0 ..#####.. 21  3 -54.107   7  4  7 

0 ..###.#..  0  4 -68.067   8  3  6 
0 ..###.#.#  1  4 -55.665   7  4  7 
0 ..###.###  2  4 14.411    6  3  6 
0 ..###.##.  3  4 -29.592   7  2  5 
0 ..###..#.  4  4 24.061    6  3  4 
0 ..###..##  5  4 62.063    5  4  5 
0 ..###...#  6  4 17.588    6  5  6 
0 ..###....  7  4 11.185    -7 4  -5
0 ..#.#....  8  4 21.112    -6 -3 -4
0 ..#.#...#  9  4 59.115    -5 4  -5
0 ..#.#..## 10  4 21.990    4  3  4 
0 ..#.#..#. 11  4 -47.612   -5 2  -3
0 ..#.#.##. 12  4 -73.265   6  1  4 
0 ..#.#.### 13  4 2.338     5  2  5 
0 ..#.#.#.# 14  4 13.862    6  3  6 
0 ..#.#.#.. 15  4 -30.140   -7 2  -5
0 ..#.###.. 16  4 14.725    6  3  6 
0 ..#.###.# 17  4 -8.073    5  4  7 
0 ..#.##### 18  4 20.403    4  3  6 
0 ..#.####. 19  4 11.601    5  2  5 
0 ..#.##.#. 20  4 32.453    4  3  4 
0 ..#.##.## 21  4 35.256    3  4  5 

0 ..#.##..#  0  5 32.380    4  5  6 
0 ..#.##...  1  5 61.177    -5 4  -5
0 ..#..#...  2  5 20.580    -4 -3 -6
0 ..#..#..#  3  5 -37.418   -3 4  -7
0 ..#..#.##  4  5 -50.542   2  3  6 
0 ..#..#.#.  5  5 -24.145   -3 2  -5
0 ..#..###.  6  5 -54.597   4  1  6 
0 ..#..####  7  5 -74.994   3  2  7 
0 ..#..##.#  8  5 -87.470   4  3  8 
0 ..#..##..  9  5 -35.473   -5 2  -7
0 ..#...#.. 10  5 -69.138   -6 -1 -6
0 ..#...#.# 11  5 -54.335   -5 2  -7
0 ..#...### 12  5 -81.859   4  1  6 
1 ..#...##. 13  5 -128.262  -5 0  -5
0 ..#....#. 14  5 -93.010   -4 -1 -4
0 ..#....## 15  5 -52.607   -3 2  -5
0 ..#.....# 16  5 0.517     -4 -3 -6
0 ..#...... 17  5 -8.286    -5 -2 -5
0 .##...... 18  5 21.577    -6 -3 -4
0 .##.....# 19  5 59.580    -5 4  -5
0 .##....## 20  5 26.836    4  3  4 
0 .##....#. 21  5 -42.766   -5 2  -3

0 .##...##.  0  6 -58.933   6  1  4 
0 .##...###  1  6 16.670    5  2  5 
0 .##...#.#  2  6 23.814    6  3  6 
0 .##...#..  3  6 -20.189   -7 2  -5
0 .##..##..  4  6 23.230    6  3  6 
0 .##..##.#  5  6 0.433     5  4  7 
0 .##..####  6  6 33.289    4  3  6 
0 .##..###.  7  6 24.487    5  2  5 
0 .##..#.#.  8  6 35.853    4  3  4 
0 .##..#.##  9  6 38.655    3  4  5 
0 .##..#..# 10  6 31.399    4  5  6 
0 .##..#... 11  6 60.196    -5 4  -5
0 .##.##... 12  6 35.844    6  5  4 
0 .##.##..# 13  6 36.247    5  6  5 
0 .##.##.## 14  6 59.503    4  5  4 
0 .##.##.#. 15  6 27.500    5  4  3 
0 .##.####. 16  6 25.734    6  3  4 
0 .##.##### 17  6 63.737    5  4  5 
0 .##.###.# 18  6 14.881    6  5  6 
0 .##.###.. 19  6 8.478     7  4  5 
0 .##.#.#.. 20  6 -46.141   8  3  4 
0 .##.#.#.# 21  6 27.061    7  4  5 

0 .##.#.###  0  7 35.918    6  3  4 
0 .##.#.##.  1  7 -68.885   7  2  3 
0 .##.#..#.  2  7 -62.319   6  3  2 
0 .##.#..##  3  7 36.484    5  4  3 
0 .##.#...#  4  7 53.228    6  5  4 
0 .##.#....  5  7 -13.975   -7 4  -3
0 .####....  6  7 -45.720   8  5  4 
0 .####...#  7  7 -10.117   7  6  5 
0 .####..##  8  7 54.739    6  5  4 
0 .####..#.  9  7 -12.463   7  4  3 
0 .####.##. 10  7 -47.030   8  3  4 
0 .####.### 11  7 26.173    7  4  5 
0 .####.#.# 12  7 -64.283   8  5  6 
1 .####.#.. 13  7 -105.886  9  4  5 
0 .######.. 14  7 -82.172   8  5  6 
0 .######.# 15  7 -107.369  7  6  7 
0 .######## 16  7 23.087    6  5  6 
0 .#######. 17  7 16.685    7  4  5 
0 .#####.#. 18  7 46.451    6  5  4 
0 .#####.## 19  7 46.853    5  6  5 
0 .#####..# 20  7 -58.003   6  7  6 
0 .#####... 21  7 -26.806   7  6  5 

0 .###.#...  0  8 13.313    6  5  6 
0 .###.#..#  1  8 -47.085   5  6  7 
0 .###.#.##  2  8 41.772    4  5  6 
0 .###.#.#.  3  8 70.569    5  4  5 
0 .###.###.  4  8 31.203    6  3  6 
0 .###.####  5  8 8.405     5  4  7 
0 .###.##.#  6  8 -106.051  6  5  8 
0 .###.##..  7  8 -51.654   7  4  7 
0 .###..#..  8  8 -64.168   8  3  6 
0 .###..#.#  9  8 -51.765   7  4  7 
0 .###..### 10  8 22.691    6  3  6 
0 .###..##. 11  8 -21.311   7  2  5 
0 .###...#. 12  8 22.855    6  3  4 
0 .###...## 13  8 60.857    5  4  5 
0 .###....# 14  8 12.001    6  5  6 
0 .###..... 15  8 5.598     -7 4  -5
0 .#.#..... 16  8 37.201    -6 -5 -4
0 .#.#....# 17  8 37.604    -5 6  -5
0 .#.#...## 18  8 60.860    4  5  4 
0 .#.#...#. 19  8 28.857    -5 4  -3
0 .#.#..##. 20  8 29.711    6  3  4 
0 .#.#..### 21  8 67.713    5  4  5 

0 .#.#..#.#  0  9 18.857    6  5  6 
0 .#.#..#..  1  9 12.454    -7 4  -5
0 .#.#.##..  2  9 15.589    6  5  6 
0 .#.#.##.#  3  9 -44.808   5  6  7 
0 .#.#.####  4  9 44.048    4  5  6 
0 .#.#.###.  5  9 72.846    5  4  5 
0 .#.#.#.#.  6  9 67.192    4  5  4 
0 .#.#.#.##  7  9 32.395    3  6  5 
0 .#.#.#..#  8  9 -30.861   4  7  6 
0 .#.#.#...  9  9 35.536    -5 6  -5
0 .#.###... 10  9 -27.733   6  7  4 
0 .#.###..# 11  9 -64.930   5  8  5 
0 .#.###.## 12  9 14.326    4  7  4 
0 .#.###.#. 13  9 19.924    5  6  3 
0 .#.#####. 14  9 35.177    6  5  4 
0 .#.###### 15  9 35.580    5  6  5 
0 .#.####.# 16  9 -69.276   6  7  6 
0 .#.####.. 17  9 -38.079   7  6  5 
0 .#.##.#.. 18  9 -52.414   8  5  4 
0 .#.##.#.# 19  9 -16.811   7  6  5 
0 .#.##.### 20  9 48.045    6  5  4 
0 .#.##.##. 21  9 -19.158   7  4  3 

0 .#.##..#.  0 10 -29.611   6  5  2 
0 .#.##..##  1 10 31.591    5  6  3 
0 .#.##...#  2 10 -7.665    6  7  4 
0 .#.##....  3 10 -37.268   -7 6  -3
0 .#..#....  4 10 -28.039   -6 -5 -2
0 .#..#...#  5 10 33.164    -5 6  -3
0 .#..#..##  6 10 -9.180    4  5  2 
0 .#..#..#.  7 10 -101.983  -5 4  -1
0 .#..#.##.  8 10 -63.529   6  3  2 
0 .#..#.###  9 10 35.274    5  4  3 
0 .#..#.#.# 10 10 52.017    6  5  4 
0 .#..#.#.. 11 10 -15.185   -7 4  -3
0 .#..###.. 12 10 30.055    6  5  4 
0 .#..###.# 13 10 30.457    5  6  5 
0 .#..##### 14 10 53.714    4  5  4 
0 .#..####. 15 10 21.711    5  4  3 
0 .#..##.#. 16 10 -21.543   4  5  2 
0 .#..##.## 17 10 4.460     3  6  3 
0 .#..##..# 18 10 6.804     4  7  4 
0 .#..##... 19 10 12.401    -5 6  -3
0 .#...#... 20 10 59.904    -4 -5 -4
0 .#...#..# 21 10 25.107    -3 6  -5

0 .#...#.##  0 11 6.763     2  5  4 
0 .#...#.#.  1 11 9.960     -3 4  -3
0 .#...###.  2 11 43.614    4  3  4 
0 .#...####  3 11 46.416    3  4  5 
0 .#...##.#  4 11 39.160    4  5  6 
0 .#...##..  5 11 67.957    -5 4  -5
0 .#....#..  6 11 33.917    -6 -3 -4
0 .#....#.#  7 11 71.920    -5 4  -5
0 .#....###  8 11 39.176    4  3  4 
0 .#....##.  9 11 -30.426   -5 2  -3
0 .#.....#. 10 11 -59.280   -4 -3 -2
0 .#.....## 11 11 4.323     -3 4  -3
0 .#......# 12 11 62.667    -4 -5 -4
0 .#....... 13 11 30.664    -5 -4 -3
0 ##....... 14 11 1.571     -4 -5 -2
0 ##......# 15 11 24.369    -3 6  -3
0 ##.....## 16 11 -54.107   2  5  2 
0 ##.....#. 17 11 -108.504  -3 4  -1
0 ##....##. 18 11 -40.052   4  3  2 
0 ##....### 19 11 20.345    3  4  3 
0 ##....#.# 20 11 73.221    4  5  4 
0 ##....#.. 21 11 44.424    -5 4  -3

0 ##...##..  0 12 62.063    4  5  4 
0 ##...##.#  1 12 24.061    3  6  5 
0 ##...####  2 12 11.185    2  5  4 
0 ##...###.  3 12 17.588    3  4  3 
0 ##...#.#.  4 12 -55.665   2  5  2 
0 ##...#.##  5 12 -68.067   1  6  3 
0 ##...#..#  6 12 -29.592   2  7  4 
0 ##...#...  7 12 14.411    -3 6  -3
0 ##..##...  8 12 -54.021   4  7  2 
0 ##..##..#  9 12 -68.823   3  8  3 
0 ##..##.## 10 12 -91.299   2  7  2 
0 ##..##.#. 11 12 -108.096  3  6  1 
0 ##..####. 12 12 -25.244   4  5  2 
0 ##..##### 13 12 -2.447    3  6  3 
0 ##..###.# 14 12 -5.571    4  7  4 
0 ##..###.. 15 12 3.232     5  6  3 
0 ##..#.#.. 16 12 -25.608   6  5  2 
